Replies_subject,relation,Replies_object
minor effect,is,negligible
User1511,Now can use,.3 mm nozzle
User1511,Now certainly can use .3 mm nozzle on,on your question
thumb,good rule of is,layer height
.3 mm nozzle,will give,bit better print quality
Answer1512,started up,it
Print,Started at,15:46:04 Paused
SD init,fail,Disconnected
Printer,is,now online
SD init,fail,echo
Error,stopped due to,errors
link,is in,folders
link,be in,Maybe would order
Answer1513,So should get,extruder
Answer1513,So should get extruder from,Taz4
ships,is with,taz
Answer1513,will have,parts ready
Answer1514,am currently dead in,water
Answer1514,am,currently dead
Answer1514,made,it
something,do with,new hotend
power supply,burning up,them
Answer1515,had,better luck
my E3D V6,using,parts
Hexagon hotends,are,shorter
Z min end stop,is in,range
groove,mount body from,http://www.thingiverse.com/thing:18379/#files Adapter plate
groove,mount,body
yeah,already ordered,thermistors
thermistors,measure,ambient temperature
something,be,tweaked
Answer1516,install,second thermistor
something,is,needs
User1516,mentioned,Lulzbot dual extruder firmware
Answer1516,compare,two
consumer level printers,require,finessing
Answer1517,wrote,Guides
User1518,going from,PLA
HIPS,causing,a nasty
first layer,smash HIPS into,bed
Second thing,change to,ABS
Second thing,is,change
Answer1518,seemed,recommended
Answer1518,purchased,few rolls of HIPS
Answer1518,basically hate,stuff
IGUS bearings,have,fit
ship,is with,TAZ
User1519,are indicating here on,my machine
loose fit,has caused,issues
Answer1519,upgraded,it
Answer1519,run,much higher accelerations
Answer1519,am,also able
accelerations,maintain,good print quality
threads,is in,forum
upgrade,is in,detail
Answer1519,think Without,upgrade
nut,is,Misumi MTSRR12
your extruder,working properly before,before same filament
your extruder,started,extruding
filament,looking at,cog
teeth,are filled with,plastic
teeth,are,filled
User1521,should remove,head assembly
User1521,use,tooth picks
set,allowing,one of these
set screws,do require,checking
Answer1521,add,LockTite
Answer1521,do,it
Answer1521,had,dollar
Answer1521,diagnose,loose set screw
Answer1521,helped for,person
spool arm,kink in,filament binding
Answer1522,came from,printer with auto-level
User1522,'re,.15 off
Z-Offset g-code setting,has,has really good to me
Answer1522,adjust,M212
Answer1522,adjust M212 for,off-set of probe
Answer1522,was,used
PEI,is good,honest
User1522,Once 've got,its almost foolproof
User1522,Once 've got,decent first layer squash
Answer1522,touch,bed
Answer1522,'ve gone so far at_time,week
my SD card,was,blank
Answer1523,forgot,mention
User1523,Can send,your serial number
motors,are too hot to,touch
motors,are,too hot
Answer1524,asked about,this
Answer1524,was,told
User1524,want,try
User1524,is on,exposed areas
User1524,get,proper adhesive sheet
LulzBot,does print,test parts
Mini ships,is with,yellow HIPS octopus
HIPS,is,higher
HIPS,is higher than,PLA
User1525,basically need,purge
User1525,purge at,temp of higher temp material
37-hour print,is in,PLA
Answer1526,'ve done,37-hour print
print,is,intricate
feed rate,was,very slow
multi-sided internal perimeters,is with,short sides
Answer1526,'m sold on,new fan shroud/duct
Answer1526,'m,sold
Answer1526,ran at,55 %
Answer1526,ran,it
Answer1527,'m going,assume
User1527,using,default lulzbot printing profile
User1527,have something loose at,Z
User1527,have loose,something
leadscrews,are,lubricated
leadscrew,are,tight
distance,is,sure identical
User1527,pay attention to,leadscrew interface
User1527,pay attention to,X axis
User1527,may want,ensure
User1527,pay,attention
User1527,swapping out,bearings
Whats,odd in,case
Z wobble,usally shows up as,other layer slight offset in one direction
printing,is in,layer height
User1527,can upload,one
high resolution picture,might,might helpful
Answer1528,was wondering,same thing
firmware,takes,temp difference
Answer1528,'m,curious
User1529,printing,sample files
User1529,printing sample files on,SD card
factory,supplied,gcode files print
could setting,is in,slicer
something,came from,weather
anyone,Can tell,me
Answer1530,'m using medium ABS configuration at,.21 layer height
Answer1530,'m using,medium ABS configuration
bed,is,lower
middle,pass,same business card
corners,barely allow,business
middle,is,easier
Answer1532,just got,dial gauge
Answer1532,just got dial gauge to,better document
bed,is,flat
PEI,has,natural curve
PEI,warmed depending,depending thickness
ABS adhesion,is,where good in middle of bed
Answer1532,'ve gotten to,point
that,is,bad
anything,is in,box
User1533,email,support@lulzbot.com
Answer1534,have called,them
them,ask about,items
TAZ5,was,introduced fairly recently
PEI,is,actually really good to printing without enclosure
Answer1535,upgraded,my printer
Adhesion,increasing,first layer squash
Adhesion,was,achieved primarily
Answer1535,raise,initial Z position
Answer1535,was able WIth,PEI
Answer1535,was,able
Answer1535,raise Z position by,almost .5
my first week,is with,TAZ5
TAZ5,has done really well As for,smaller intricate prints
60mmx60mm plate,is with,hard corners
Answer1535,is,impressed
Answer1535,printed,test calibration print consisting of 60mmx60mm plate
corners,were,sharp
cubes,were,dimensionally accurate
stepper,is,bulk
All Metal Hotend,can print,Semiflex
Flexystruder,can print,Ninjaflex
people,can probably make,their own
your,option,personal opinion
two parts,get really close,tolerances
User1537,can use,glue
User1537,attach,two pieces
User1537,can sand down,surface make
printer,disconnected before,testing
printer,is,powered down
printer,disconnected from,computer
voltage,is,detectable
voltage,coming more specifically out of,connector at board
connector,is in,diagram
Answer1539,took apart budaschnozzle at_time,tonight
Answer1539,took apart,budaschnozzle
Answer1539,found here,it
picture,is,pretty clear
Answer1539,'ve had,printer for a year
User1540,need,larger nozzle orifice
User1540,print,flexible materials
User1540,print materials at,speed
User1540,can achieve resolution with,0.50 mm nozzle/hot end
User1540,can achieve,resolution
User1540,printing at,finer layer heights
t,0,845 2
carbon fiber filaments,seem like,good idea
fibers,will accelerate much faster,nozzle-wear
users,are reporting trouble,tempting
users,are reporting,trouble
filament,containing,carbon fiber
carbon fiber,benefits of are,strength
interlocking long carbon fiber strands,give,super-strong core
cheaper plywood,is with,smaller fiber length
your prints,are,similar
parts,are,much much stronger
User1541,like,tinker with your machine
designs,are,opensource
printer,is,printable/replaceable/upgradeable
PLA,is,common low temp
New special types,are,are released
semiconductive PLA,is in,dark
Printing large parts,is,challenge
Printing large parts,is challenge due to,contraction
some,require,higher temperatures
some,higher temperatures than,standard Budaschnozzle permits
Ninjaflex,is,highly durable elastomer
Ninjaflex,is,durable
Ninjaflex,is,suitable
Ninjaflex materials,print quite easily with,upgrade
useful models,are,also very possible
Lulzbot,on,filament guide
Answer1541,do sit Unlike,edlink
Our cluster operators,are in,room with 135 TAZ 's round
.35 nozzles,are,good balance
User1541,save only,one Budaschnozzle
use,is with,Ninjaflex
Its properties,are smack between,ABS
Its properties,are,smack
Its properties,looks,nice
Answer1541,am hoping for,zero-gravity testing
User1541,find,material properties for any of common printing materials heated to laser etching temps
Answer1541,'m,sure
esteps,are,dependent
esteps,are,NOT dependent on hotend only extruder
many steps,extrude,1 mm of filament
your new hotend,has,nozzle size
your,slicer,most likely Cura
User1542,configure,that in your slicer
he,bought,whole extruder assembly for hexagon
tag,is with,calibrated esteps
Answer1542,got,new assemblies
Answer1543,installed,fangtooth
Answer1543,made,thread
Answer1543,made thread for,it
Answer1543,threw up in,general hardware forum
nozzle,been,great
t,0,1718
Answer1543,use,flexible material
Answer1543,use material with,this
Answer1543,may,may super glad
e3d-v6,coming after,all
PEI bed,is on,way as individual component
trust me,Is up,straightaway
Answer1543,currently use,~ 20 line brim
Answer1543,print,parts
PEI sheet,Is,much lighter
PEI sheet,Is much lighter than,glass bed
weight reduction,is in,y axis
weight reduction,would,would bonus for me
Answer1543,have,my TAZ4 .5 printing
175mm/s,is with,acceleration set at 2000
Cool,looks,nice
protective plastic,can,can removed
pop,be from,full rotation
inner reel hole,has,filament
resistor,is in,hotend
User1546,see,its open
User1546,have,multimeter
User1546,can check,continuity of resistor
wires,crimp,connectors
tiny crimp joints,have failed before on,me
holes,are for,where fan
Answer1546,heat again,hot end
point,is in,next week
Answer1547,direct,folks off site
User1547,'ll get,much better results
RichRap,varying,temperature of PLA
RichRap,varying temperature,he printed
visual effect,resulted in,cooler in more matte finish
Answer1547,keep,word document
User1547,are reading,my Strategy post
User1547,can use,simple STLs
your filament,understand,their temperature
Answer1547,posted,help
User1547,prefer over,rest
community,posted filament journal on,google docs for quick reference
community,posted,filament journal
User1548,get,great results
User1548,can generally print at,about 10 degrees hotter
http://download.lulzbot.com/Mini/1.0/pr il bom.ods,is With,Hex hot end
picture,showing,effect of it on bed-calibration print
https://www.youtube.com/watch?v=MAIT-5d7-m4,have,clue/advice
User1552,reflash,firmware depending
Answer1552,'m,pretty sure
your computer,USB port for,power savings
High Performance,is,selected
Answer1554,So discovered in,Simplify3D
User1554,can assign,it
User1554,have split STL files for,dual extruder part
User1554,use,one extruder
User1554,create,process with 2 extruders
one extruder,is in,your process
track,find,everything for particular STL files
setting,is in,program for menu item
Simplfy3D support,been,very responsive
Answer1555,Should add,offset to Z axis on slicer
value,Is something,I can add to marlin firmware perhaps
value,Is,something
Lulzbot,provided,configuration
Lulzbot,provided configuration for,material
PLA,likes For,me
PLA,pull up like,just arms in your photo
sharp change,is in,direction
180 C,at lot is,GizmoDorks dark blue PLA
your fan,going to,195 C.
Answer1557,having,problem
Answer1557,having problem at_time,lot at 180 C
Answer1558,solve,problem
Everything,is,replaced
Answer1558,'d got from,MakerFarm Cheers
two different extruders,one for,flexy
extruders,be used for,everything
extruders,be,used
glass bed finger clip,is,half on/half
Answer1562,was,able
glass,was,just chipped
Answer1562,level,bed
bed level,seems,okay
Answer1562,have printed about,four things
User1563,hold off,trying
Answer1564,am using,standard Lulzbot TAZ profiles for Cura
M106 commands,sprinkled with,values for layer
Answer1564,Looking at,gcode
Answer1564,remember,reading at one point
first layers,adhere better to,heated bed
small fan duct,pointed at,head nozzle
Could something wrong,is with,my fan mount
Answer1564,also noticed at_time,morning
Answer1564,put,tape
Answer1564,heated up,extruder
Answer1564,put tape in,there
Answer1564,printed,parts
Answer1564,printed parts at_time,last night
User1565,prevent,you
